Treatment,Dilution,OD,concentration,corrected
no_sugar,10,0.094,0.106475,1.06475
no_sugar,10,0.087,0.1011375,1.011375
no_sugar,10,0.097,0.1087625,1.087625
no_sugar,10,0.1,0.11105,1.1105
no_sugar,10,0.093,0.1057125,1.057125
simple_sugar,100,0.199,0.1865375,18.65375
simple_sugar,100,0.167,0.1621375,16.21375
simple_sugar,100,0.175,0.1682375,16.82375
simple_sugar,100,0.179,0.1712875,17.12875
simple_sugar,100,0.193,0.1819625,18.19625
arabinogalactan,10,0.158,0.155275,1.55275
arabinogalactan,10,0.164,0.15985,1.5985
arabinogalactan,10,0.173,0.1667125,1.667125
arabinogalactan,10,0.168,0.1629,1.629
arabinogalactan,10,0.178,0.170525,1.70525
xyloglucan,10,0.111,0.1194375,1.194375
xyloglucan,10,0.102,0.112575,1.12575
xyloglucan,10,0.11,0.118675,1.18675
xyloglucan,10,0.1,0.11105,1.1105
xyloglucan,10,0.102,0.112575,1.12575